dataset,model,seed,perturbation_rate,n_instances,mean_pred_drift,frac_pred_preserving,frac_plausible,shap_rank_sim_mean,shap_attr_sim_mean,shap_sign_cons_mean,lime_rank_sim_mean,lime_attr_sim_mean,lime_sign_cons_mean
german,xgboost,7,-0.1,50,0.07594644228927791,0.5,0.98,0.9491661237785017,0.9506359916176207,0.9520000000000001,0.8146721667390361,0.8416922551220287,0.8992857142857144
german,xgboost,7,-0.05,50,0.06390734717715532,0.58,0.98,0.961114006514658,0.9645287113539968,0.9586666666666666,0.8350586191923578,0.8686919977322097,0.9197023809523809
german,xgboost,7,0.05,50,0.09760800919495523,0.56,0.88,0.9407622149837134,0.9253105192922183,0.9222222222222223,0.7668258792878854,0.768248712711814,0.8453301972963098
german,xgboost,7,0.1,50,0.11943854436744004,0.48,0.84,0.9248816503800218,0.8866754552811542,0.9151111111111111,0.7697807207989578,0.700576464139785,0.8155866437484085
german,xgboost,42,-0.1,50,0.07057251200079918,0.54,0.98,0.9435379688432937,0.9487262587937754,0.9413043478260871,0.8093617021276596,0.835684893516406,0.9145656028368795
german,xgboost,42,-0.05,50,0.06620970911812037,0.56,0.98,0.9563545568039951,0.962159659633704,0.9517391304347826,0.8115892314372557,0.8719419607390225,0.9258156028368795
german,xgboost,42,0.05,50,0.09226091718766838,0.54,0.88,0.9223318677739782,0.9294503481779754,0.9152173913043478,0.8233521493703865,0.7986723415275049,0.8711879432624113
german,xgboost,42,0.1,50,0.11424537342274561,0.56,0.84,0.9142246105411713,0.8925380264397503,0.9043478260869565,0.8258727746417717,0.7576334031602101,0.8539746376811594
german,xgboost,123,-0.1,50,0.06840956004802137,0.6,0.98,0.9429576547231271,0.9519681407556159,0.9408888888888889,0.7994268345636126,0.8494396772206795,0.9125378787878787
german,xgboost,123,-0.05,50,0.06374946839408949,0.58,0.98,0.9470966340933767,0.963377472411565,0.9484444444444445,0.8090859748154581,0.859678327963832,0.9225378787878787
german,xgboost,123,0.05,50,0.09335465636104345,0.44,0.88,0.9317785016286645,0.9353631683444426,0.9155555555555556,0.8116283108988276,0.7721798262797276,0.8675370370370371
german,xgboost,123,0.1,50,0.1078748805820942,0.54,0.84,0.9203148751357222,0.8962871240910054,0.9008888888888889,0.8161202778983934,0.7234006214275881,0.852804677206851
german,xgboost,2024,-0.1,50,0.07875215863808989,0.48,0.98,0.945372421281216,0.9475943926986585,0.9417777777777778,0.7985757707338255,0.8030247996268051,0.8924242424242425
german,xgboost,2024,-0.05,50,0.06217633375432342,0.54,0.98,0.9532356134636265,0.9610870885823861,0.9471111111111111,0.8054450716456795,0.860005958832067,0.9111380105401844
german,xgboost,2024,0.05,50,0.09792129178531468,0.56,0.88,0.926970684039088,0.9289882958236008,0.9097777777777778,0.7848588797221017,0.7597123209320074,0.8592663043478261
german,xgboost,2024,0.1,50,0.11857920744689182,0.5,0.84,0.9178089033659067,0.8994520753922756,0.8968888888888888,0.7707663916630482,0.7249251667220517,0.8431576402321084
gmsc,lightgbm,0,-0.1,50,0.07352009510037552,0.58,1.0,0.8465454545454544,0.8228992113485455,0.8640000000000001,0.6676363636363635,0.8935575781675089,0.8079999999999999
gmsc,lightgbm,0,-0.05,50,0.06925406453064936,0.62,1.0,0.8465454545454544,0.8265129673086665,0.872,0.6894545454545454,0.8900142331867841,0.8059999999999999
gmsc,lightgbm,0,0.05,50,0.5543667757956002,0.04,1.0,0.2829090909090909,0.22536803601960018,0.5539999999999999,0.5709090909090908,0.6839488610403592,0.6920000000000001
gmsc,lightgbm,0,0.1,50,0.5497972574503132,0.02,1.0,0.2707878787878788,0.21997601101861655,0.5379999999999999,0.5978181818181817,0.686301620009178,0.7
gmsc,lightgbm,7,-0.1,50,0.07417929838752761,0.58,1.0,0.8058181818181818,0.8157972802105584,0.87,0.6872727272727271,0.8952273552844525,0.868
gmsc,lightgbm,7,-0.05,50,0.07160593203301938,0.56,1.0,0.836121212121212,0.8206340561110856,0.8760000000000001,0.6528484848484848,0.8982160297111693,0.838
gmsc,lightgbm,7,0.05,50,0.5466031267889196,0.04,1.0,0.2894545454545454,0.22377248090999508,0.578,0.5798787878787879,0.7070896490032896,0.72
gmsc,lightgbm,7,0.1,50,0.5440175323433858,0.04,1.0,0.2678787878787878,0.22033057826697053,0.5479999999999999,0.5842424242424241,0.71482245727874,0.7040000000000001
gmsc,lightgbm,42,-0.1,50,0.0727051123916741,0.6,1.0,0.8327272727272726,0.8190815258292488,0.868,0.6812121212121212,0.8971708190368217,0.85
gmsc,lightgbm,42,-0.05,50,0.07014595202200852,0.62,1.0,0.8310303030303029,0.8228603986812181,0.8860000000000001,0.648,0.8991960845087911,0.8460000000000001
gmsc,lightgbm,42,0.05,50,0.5465518861679142,0.02,1.0,0.2962424242424242,0.2336223076660937,0.5379999999999999,0.5219393939393939,0.7154907189409866,0.726
gmsc,lightgbm,42,0.1,50,0.54147463806211,0.02,1.0,0.2729696969696969,0.22893191790338652,0.518,0.5655757575757575,0.7091998726886323,0.74
gmsc,lightgbm,123,-0.1,50,0.07509819794186634,0.56,1.0,0.8193939393939393,0.8153326092225781,0.872,0.6882424242424241,0.8933138337858089,0.868
gmsc,lightgbm,123,-0.05,50,0.07253434602980671,0.58,1.0,0.8358787878787878,0.8193332551280599,0.884,0.6433939393939393,0.8845007459211744,0.862
gmsc,lightgbm,123,0.05,50,0.5464906153781459,0.04,1.0,0.3139393939393939,0.2293836977803373,0.5479999999999999,0.5277575757575756,0.7033309924972605,0.746
gmsc,lightgbm,123,0.1,50,0.5411721277402088,0.04,1.0,0.29478787878787877,0.2277824633573591,0.54,0.592,0.69080381929971,0.716
gmsc,lightgbm,2024,-0.1,50,0.07155644810201235,0.56,1.0,0.8179393939393939,0.8190997142066853,0.8640000000000001,0.6855757575757575,0.9000534231987419,0.828
gmsc,lightgbm,2024,-0.05,50,0.06729915656709468,0.62,1.0,0.8426666666666666,0.8255183583401592,0.882,0.7083636363636363,0.9049966471488087,0.8220000000000001
gmsc,lightgbm,2024,0.05,50,0.5473147201171082,0.04,1.0,0.29866666666666664,0.22548669026590035,0.556,0.5633939393939393,0.7218705641048961,0.696
gmsc,lightgbm,2024,0.1,50,0.5448240957652927,0.04,1.0,0.28387878787878784,0.22024273225968244,0.5319999999999999,0.5837575757575757,0.6962705642699557,0.722
